claim_id,location,expected,observed,verdict,artifact,reason
k-31,08-conclusions.typ:9 (@chap:conclusion),50-seed sweep with 37 failing configurations in one large-message property split into two deterministic classes,"13/37 of 50 seeds; failure classes: ['broker-message-max-too-small', 'log-segment-too-small']",match,analysis/kafka-sweep.json,
m-01,07-discussion.typ:91 (@sec:scalability-discussion),all 32 cells visited (informational; historical),,informational-observed,,historical/informational claim; no reproduction target
m-02,07-discussion.typ:91 (@sec:scalability-discussion),all 9 cells of the critical joint within a 162-cell space,,informational-observed,,historical/informational claim; no reproduction target
m-03,07-discussion.typ:91 (@sec:scalability-discussion),22 of 24 cells,,informational-observed,,historical/informational claim; no reproduction target
m-04,06-evaluation.typ:5 (@chap:evaluation),3-node Kafka; 3-node etcd; 3-broker RabbitMQ,,informational-observed,,historical/informational claim; no reproduction target
m-05,06-evaluation.typ:183 (@sec:evaluation-etcd),80 distinct 64 KiB values (approx 5 MiB total),,informational-observed,,historical/informational claim; no reproduction target
m-06,06-evaluation.typ:86 (@sec:evaluation-kafka),1.5 MiB record with acks=all to 3-partition RF-3 topic; consumer must receive at least 1.5 MiB,,informational-observed,,historical/informational claim; no reproduction target
m-07,07-discussion.typ:91 (@sec:scalability-discussion),500/500 runs passing all 15 checks (cache-reuse caveat),,informational-observed,,historical/informational claim; no reproduction target
m-08,06-evaluation.typ:379 (@sec:evaluation-summary),Kafka 13/37 of 50 with zero per-seed flips on re-execution; etcd v2 37/13 all quota class,"kafka 13/37, flips=0; etcd v2 37/13, failure_class=quota-backend-too-small-for-write-burst",informational-observed,analysis/kafka-sweep.json + analysis/determinism.json + analysis/etcd-v2-sweep.json,
r-01,06-evaluation.typ:267 (@sec:evaluation-rabbitmq-disk),"5/5 properties pass; 50/50 publishes confirmed; 0 alarm samples (run 20260822-183835-...-seed-1-phase2-disk-positive, rev 998cae1)",5/5 checks pass; 0 ambiguous publishes; 0 alarm samples,match,analysis/rabbitmq-disk-cells.csv,
r-02,06-evaluation.typ:271 (@sec:evaluation-rabbitmq-disk),nominal free-space target 100 MB (recorded post-fill approx 104.5 MB); alarm threshold 200 MB; 200 messages of 16 KiB; 1 s confirm timeout; 1.5x safety factor,confirm_timeout_ms=1000; disk_free_limit_mb=190; message_size_kib=16; nominal_free_target_mb=100; planned_messages=200; safety_factor_milli=1500,match,analysis/rabbitmq-disk-cells.csv,
r-03,06-evaluation.typ:273 (@sec:evaluation-rabbitmq-disk),naive_capacity_sufficient=true (approx 104.5 MB > approx 4.69 MB naive req) while capacity_sufficient=false (104.5 MB < approx 204.69 MB strict req),naive_capacity_sufficient=True; capacity_sufficient=False,match,analysis/rabbitmq-disk-cells.csv,
r-04,06-evaluation.typ:274 (@sec:evaluation-rabbitmq-disk),disk_free alarm activates during publish (14 alarm samples); all 200 publish attempts ambiguous with ConnectionBlockedTimeout,14 alarm samples; 200 ambiguous publish attempts,match,analysis/rabbitmq-disk-cells.csv,
r-05,06-evaluation.typ:275 (@sec:evaluation-rabbitmq-disk),22 of the unconfirmed messages were durably applied by the broker,22 unconfirmed messages durably applied,match,analysis/rabbitmq-disk-cells.csv,
r-06,06-evaluation.typ:276 (@sec:evaluation-rabbitmq-disk),exactly one property fails: rabbitmq-disk-capacity-confirmation-contract; other four (incl. recovery and consistency) pass,4/5 checks pass; failing: rabbitmq-disk-capacity-confirmation-contract,match,analysis/rabbitmq-disk-cells.csv,
r-07,06-evaluation.typ:277 (@sec:evaluation-rabbitmq-disk),22 and 23 recovered messages respectively,cell-x reproduction recovered counts: 23 and 22,within-tolerance,analysis/rabbitmq-disk-cells.csv,same signature; recovered counts within the timing-dependent range 22-25
r-08,06-evaluation.typ:289-290 (@tab:rabbitmq-disk-cells),pass 5/5 (both rows incl. rerun),"2/2 positive rows: 5/5 checks, 0 ambiguous, 0 alarms",match,analysis/rabbitmq-disk-cells.csv,
r-09,06-evaluation.typ:291 (@tab:rabbitmq-disk-cells),fails capacity contract only,strict_sufficient=False; naive_sufficient=True; 200 ambiguous; 14 alarm samples,match,analysis/rabbitmq-disk-cells.csv,
r-10,06-evaluation.typ:292-293 (@tab:rabbitmq-disk-cells),22 recovered (repro 1); 23 recovered (repro 2),cell-x reproduction recovered counts: 23 and 22,within-tolerance,analysis/rabbitmq-disk-cells.csv,same signature; recovered counts within the timing-dependent range 22-25
r-11,06-evaluation.typ:294 (@tab:rabbitmq-disk-cells),fails capacity contract only,20 ambiguous publish attempts; 16 alarm samples,match,analysis/rabbitmq-disk-cells.csv,
r-12,06-evaluation.typ:342 (@sec:evaluation-rabbitmq-shrink),20/20 ambiguous; 16 alarm samples,"second minimal execution: 4/5 checks, 20 ambiguous, 15 alarms (first execution: 16 alarms)",within-tolerance,analysis/rabbitmq-disk-cells.csv,"identical verdict, checks and ambiguous counts; alarm samples 16 vs 15 (the alarm poller samples ±3 between identical executions)"
r-13,06-evaluation.typ:313 (@sec:evaluation-rabbitmq-failure-domain),pass 2/2 (two properties); 11/11 tracked operations recover exactly once (run 20260822-190647-...-phase2-faildom-spread; rev 998cae1),2/2 properties; 11/11 operations exactly once; probe=confirmed; failing: ,match,analysis/rabbitmq-faildom-cells.csv,
r-14,06-evaluation.typ:315 (@sec:evaluation-rabbitmq-failure-domain),colocated: rabbitmq-failure-domain-exact-recovery passes (11/11 exactly once incl. ambiguous probe); rabbitmq-failure-domain-retains-quorum-availability fails with OuterCommandTimeout evidence,1/2 properties; 11/11 operations exactly once; probe=ambiguous; failing: rabbitmq-failure-domain-retains-quorum-availability,match,analysis/rabbitmq-faildom-cells.csv,
r-15,06-evaluation.typ:322 (@tab:rabbitmq-faildom-cells),pass 2/2; 11/11 exactly once,2/2 properties; 11/11 operations exactly once; probe=confirmed; failing: ,match,analysis/rabbitmq-faildom-cells.csv,
r-16,06-evaluation.typ:323 (@tab:rabbitmq-faildom-cells),fails availability contract; recovery passes,1/2 properties; 11/11 operations exactly once; probe=ambiguous; failing: rabbitmq-failure-domain-retains-quorum-availability,match,analysis/rabbitmq-faildom-cells.csv,
r-17,06-evaluation.typ:324 (@tab:rabbitmq-faildom-cells),same verdict as colocated,1/2 properties; 11/11 operations exactly once; probe=ambiguous; failing: rabbitmq-failure-domain-retains-quorum-availability,match,analysis/rabbitmq-faildom-cells.csv,
r-18,06-evaluation.typ:333 (@sec:evaluation-rabbitmq-crash),all cells pass 3/3; every confirmed persistent publish survived one SIGKILL; zero ambiguous operations,"6/6 crash rows: pass 3/3, 50 confirmed, 0 ambiguous",match,analysis/rabbitmq-crash-cells.csv,
r-19,06-evaluation.typ:333 (@sec:evaluation-rabbitmq-crash),0 ambiguous operations across all crash cells (negative observation),"ambiguous counts across 6 crash rows: during-publish=0,follower-repA=0,follower-repB=0,leader=0,retune-follower=0,retune-leader=0",match,analysis/rabbitmq-crash-cells.csv,
r-20,appendix.typ:138 (@tab:rabbitmq-crash-cells),pass 3/3,3/3 checks; 50 confirmed; 0 ambiguous; leader rabbit1->rabbit1,match,analysis/rabbitmq-crash-cells.csv,
r-21,appendix.typ:139 (@tab:rabbitmq-crash-cells),pass 3/3,3/3 checks; 50 confirmed; 0 ambiguous; leader rabbit1->rabbit1,match,analysis/rabbitmq-crash-cells.csv,
r-22,appendix.typ:140 (@tab:rabbitmq-crash-cells),pass 3/3,3/3 checks; 50 confirmed; 0 ambiguous; leader rabbit1->rabbit3,within-tolerance,analysis/rabbitmq-crash-cells.csv,"checks pass and the leader migrated off rabbit1 as claimed, to rabbit3 rather than the thesis's rabbit2 (the surviving node RabbitMQ elects is not determined by the configuration under test)"
r-23,appendix.typ:141 (@tab:rabbitmq-crash-cells),pass 3/3,3/3 checks; 50 confirmed; 0 ambiguous; leader rabbit1->rabbit1,match,analysis/rabbitmq-crash-cells.csv,
r-24,appendix.typ:142 (@tab:rabbitmq-crash-cells),pass 3/3,3/3 checks; 50 confirmed; 0 ambiguous; leader rabbit1->rabbit1,match,analysis/rabbitmq-crash-cells.csv,
r-25,appendix.typ:143 (@tab:rabbitmq-crash-cells),pass 3/3,3/3 checks; 50 confirmed; 0 ambiguous; leader rabbit1->rabbit2,match,analysis/rabbitmq-crash-cells.csv,
r-26,appendix.typ:148 (@sec:crash-cells),rest of cells single execution (existence claims only),during-publish=2; follower=2; leader=1; retune-leader=1,match,analysis/rabbitmq-crash-cells.csv,
r-27,08-conclusions.typ:9 (@chap:conclusion),13 etcd failures in single quota class with deterministic split by QUOTA_BACKEND_BYTES; reproduced RabbitMQ counterexamples on designed cells,etcd v2 37/13 in class quota-backend-too-small-for-write-burst; 7 rabbitmq disk cell rows,informational-observed,analysis/etcd-v2-sweep.json,
t-01,06-evaluation.typ:359 (@sec:evaluation-reproducibility),57 tests,"python suite: ran=59, ok=True",within-tolerance,analysis/test-suites.json,suite passes; 2 test(s) added to the framework after the thesis revision (thesis-era count 57)
t-02,06-evaluation.typ:359 (@sec:evaluation-reproducibility),114 tests,"nix suite: successful=114/114, ok=True",match,analysis/test-suites.json,
